subject,date,eid,ROI
ZFM-06268,2023-09-18,67f99b3d-cad7-49fc-ae30-bfa854f1b522,Region3G
ZFM-06275,2023-10-06,f00f4182-58b3-4a66-a18b-e1b199de03c6,Region3G
ZFM-03062,2021-08-31,b7b186ee-1b36-4b1a-ae15-70078c472f97,Region4G
ZFM-04019,2022-04-06,cfa56986-11cf-4cff-8f2e-6b8eeda6cb44,Region5G
ZFM-03061,2021-09-06,b0e8c029-4bc5-4eb5-99b9-9896164efaea,Region6G
ZFM-03061,2021-09-03,ac37db31-64f3-4558-a255-3f5c49154b9b,Region4G
ZFM-06275,2023-07-13,82ea7603-9a8f-46de-83e4-bf748236a532,Region4G
ZFM-03059,2021-09-08,4edc1662-a165-48ef-a332-7172bfca71e7,Region1G
ZFM-05235,2023-07-07,3fbea691-8a43-4ae5-b2ff-d22ed34070d4,Region4G
ZFM-06272,2023-08-14,121f90b8-5f45-4652-83b1-ccb5948f211e,Region3G
ZFM-06272,2023-08-18,90585e8c-c2a9-4249-a836-2e00f876ee4c,Region5G
ZFM-03065,2021-09-10,32eaad6d-fd35-46e9-b7cb-22656d8e3375,Region1G
ZFM-05235,2022-11-29,b5b9d6ac-bc86-49c4-96a4-e03de7f98f88,Region3G
ZFM-05245,2022-12-28,8b964e4c-2105-4601-81d2-00c3262945fa,Region4G
ZFM-06171,2023-10-17,6247aa20-94a2-4d9e-b8c7-a8fd0743410e,Region6G
ZFM-05248,2023-02-10,7ffd404f-3ddd-46aa-99f0-e6db99cc5186,Region3G
ZFM-03447,2022-03-21,537a23f7-c243-4f38-9783-3bcb77b09212,Region5G
ZFM-03447,2022-03-25,99d32415-3e41-468c-a21e-17f30063eb31,Region6G
ZFM-06268,2023-10-06,3bed4725-bb1d-4ee4-bdff-0491449e7317,Region6G
ZFM-05235,2022-11-24,c779d086-cf45-4bfe-b1b7-04491ac9c3ef,Region3G
ZFM-03062,2021-10-19,2a0e87d4-7832-48a4-8cbc-690558a96773,Region4G
ZFM-05235,2023-02-10,ffe2da46-0c38-40f2-b285-200d95a745df,Region4G
ZFM-06272,2023-07-14,c3583d46-7d56-42fc-ac63-886b39c45eb6,Region4G
ZFM-04026,2022-07-14,5d4e5359-bb38-45ce-90d7-629141255e4f,Region5G
ZFM-03059,2021-10-25,f8f1854d-9056-4f42-80b4-1af6443d81cf,Region1G
ZFM-05245,2023-03-24,7450da43-665b-48d2-ac4d-29082d58ae0a,Region4G
ZFM-03059,2021-09-20,fb11c0f9-f93f-4803-9a67-371dfb56bdd8,Region1G
ZFM-03061,2021-10-27,9bd4a155-c529-4ad9-b719-36b866b30ee4,Region6G
ZFM-04533,2023-02-14,ec61ebd3-b37f-4e8b-a386-c2f5a15706b8,Region3G
ZFM-04022,2022-06-30,5d93d92e-ea91-44ff-b807-88b8e5338ded,Region6G
ZFM-06275,2023-08-16,6ab97659-457d-4dd3-9d4e-da2637490d34,Region5G
ZFM-03062,2021-08-30,c2b953bd-e24e-410a-be4e-b3dd6ef373b8,Region4G
